HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459708.91537,2022-05-09.4195254,bH,1.39,17.057,15.528,0.053,2.234,0.109,g
2459712.66108,2022-05-13.1649883,bp,1.54,17.094,15.551,0.053,2.187,0.106,g
2459714.67747,2022-05-15.1812436,bp,1.56,16.079,15.807,0.171,1.727,0.269,g
2459716.66923,2022-05-17.1728554,bp,1.59,16.624,15.973,0.120,1.482,0.163,g
2459722.87393,2022-05-23.3770788,bl,1.51,17.056,15.658,0.060,1.982,0.109,g
2459727.65030,2022-05-28.1530637,bp,1.56,17.215,16.500,0.113,0.912,0.095,g
2459731.66648,2022-06-01.1689143,bp,1.50,17.761,16.650,0.078,0.795,0.057,g
2459733.61360,2022-06-03.1158634,bp,1.56,17.775,16.434,0.063,0.970,0.057,g
2459734.66832,2022-06-04.1704940,bp,1.79,17.371,16.766,0.125,0.714,0.082,g
2459735.60959,2022-06-05.1116674,bp,1.54,17.385,16.317,0.082,1.080,0.081,g
2459737.10418,2022-06-06.6061306,bD,1.52,17.409,16.205,0.072,1.196,0.079,g
2459737.60230,2022-06-07.1042040,bp,1.50,17.542,16.236,0.066,1.163,0.070,g
2459738.85154,2022-06-08.3533363,bl,1.50,17.604,16.018,0.051,1.421,0.066,g
2459741.58051,2022-06-11.0820510,bp,1.61,17.483,15.951,0.053,1.513,0.074,g
2459742.91472,2022-06-12.4161406,bl,1.51,17.523,15.664,0.039,1.970,0.071,g
2459747.83001,2022-06-17.3309718,bl,1.53,17.080,15.423,0.047,2.460,0.107,g
2459749.87934,2022-06-19.3801234,bH,1.47,16.964,15.340,0.049,2.656,0.119,g
2459758.93351,2022-06-28.433425,bl,2.35,17.343,15.357,0.035,2.614,0.084,g
2459761.54203,2022-07-01.0416916,bp,1.71,17.469,15.549,0.038,2.190,0.076,g
2459763.95540,2022-07-03.4548341,bt,1.53,16.776,15.278,0.055,2.809,0.142,g
2459767.77609,2022-07-07.2751711,bH,1.43,17.251,15.440,0.041,2.422,0.091,g
2459771.10374,2022-07-10.6024988,bD,1.51,17.533,15.395,0.030,2.523,0.071,g
2459772.94292,2022-07-12.4415179,bt,1.50,17.282,15.449,0.040,2.400,0.089,g
2459773.80811,2022-07-13.3066315,bl,1.51,16.615,15.374,0.070,2.572,0.164,g
2459776.88170,2022-07-16.3799386,bt,1.55,16.627,15.346,0.067,2.638,0.162,g
2459784.98720,2022-07-24.4847214,bD,1.56,17.474,15.642,0.040,2.009,0.074,g
2459785.46157,2022-07-24.9590597,bp,1.54,17.352,15.772,0.051,1.784,0.084,g
2459786.97227,2022-07-26.4696256,bt,1.59,16.291,15.583,0.114,2.121,0.221,g
2459787.94204,2022-07-27.4393109,bH,1.40,17.109,15.773,0.064,1.782,0.104,g
2459790.97178,2022-07-30.4688001,bD,1.47,17.516,15.718,0.042,1.874,0.072,g
2459792.46870,2022-07-31.9655987,bp,1.57,17.530,16.016,0.054,1.425,0.071,g
2459793.70739,2022-08-02.2041971,bH,1.44,17.522,16.045,0.056,1.387,0.071,g
2459794.71361,2022-08-03.2103423,bl,1.51,17.556,15.867,0.046,1.634,0.069,g
2459795.82134,2022-08-04.3179829,bl,1.65,17.549,15.842,0.045,1.672,0.069,g
2459796.81224,2022-08-05.3088059,bH,1.46,17.444,15.740,0.045,1.837,0.077,g
2459800.69157,2022-08-09.1878524,bH,1.58,16.689,15.595,0.080,2.099,0.153,g
2459804.72421,2022-08-13.2202112,bH,1.68,16.554,15.954,0.126,1.509,0.174,g
2459808.94353,2022-08-17.4392594,bD,1.51,17.225,15.887,0.064,1.603,0.094,g
2459814.61169,2022-08-23.1070828,bp,1.51,17.458,16.122,0.064,1.292,0.076,g
2459815.48981,2022-08-23.9851633,bp,1.56,17.600,16.253,0.063,1.145,0.067,g